,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,653,3466,0,1859,0,0,2736,128,1142,853,4,0
1,0,1016,2110,0,3571,0,0,2002,0,256,109,9,0
2,0,423,5849,0,2184,0,0,558,0,54,29,0,0
3,0,197,2354,0,136,0,0,46,0,0,0,0,0
4,0,180,2787,0,7243,0,0,1980,386,517,529,38,0
5,0,145,2041,0,766,0,0,359,0,25,158,6,0
6,0,133,2804,0,859,0,0,276,0,4,71,0,0
7,0,881,2567,0,8693,0,0,6706,1645,2408,256,27,0
8,0,0,31,0,371,0,0,1573,2343,1502,1815,0,0
9,0,1084,1219,0,438,0,0,612,0,2814,568,119,0
10,0,20,130,0,81,0,0,928,330,755,788,2,0
11,0,0,0,0,0,0,0,0,0,2436,836,26,0
12,0,112,430,0,71,0,0,80,0,119,264,173,0
